id,path,filename,extension,size
1680,ROM/0943/Jackie Chan's Action Kung Fu (E) [!].nes,Jackie Chan's Action Kung Fu (E) [!].nes,nes,262160
1681,ROM/0943/Jackie Chan's Action Kung Fu (U) [!].nes,Jackie Chan's Action Kung Fu (U) [!].nes,nes,262160
1682,ROM/0944/Dora 3 (J) [!].nes,Dora 3 (J) [!].nes,nes,262160
1683,ROM/0945/Yume Penguin Monogatari (J).nes,Yume Penguin Monogatari (J).nes,nes,262160
1684,ROM/0946/Paperboy (E) [!].nes,Paperboy (E) [!].nes,nes,65552
1685,ROM/0946/Paperboy (J) [!].nes,Paperboy (J) [!].nes,nes,65552
1686,ROM/0946/Paperboy (U) [!].nes,Paperboy (U) [!].nes,nes,65552
1687,ROM/0947/Golf Grand Slam (J) [!].nes,Golf Grand Slam (J) [!].nes,nes,262160
1688,ROM/0947/Golf Grand Slam (U) [!].nes,Golf Grand Slam (U) [!].nes,nes,262160
1689,ROM/0948/Championship Bowling (J) [!].nes,Championship Bowling (J) [!].nes,nes,65552
1690,ROM/0948/Championship Bowling (U) [!].nes,Championship Bowling (U) [!].nes,nes,65552
1691,ROM/0949/Dark Lord (J).nes,Dark Lord (J).nes,nes,393232
1692,ROM/0950/Akagawa Jirou no Yuurei Ressha (J) [!].nes,Akagawa Jirou no Yuurei Ressha (J) [!].nes,nes,262160
1693,ROM/0951/Isolated Warrior (E) [!].nes,Isolated Warrior (E) [!].nes,nes,262160
1694,ROM/0951/Isolated Warrior (U) [!].nes,Isolated Warrior (U) [!].nes,nes,262160
1695,ROM/0951/Max Warrior (J).nes,Max Warrior (J).nes,nes,262160
1696,ROM/0952/Parasol Henbee (J) [!].nes,Parasol Henbee (J) [!].nes,nes,262160
1697,ROM/0953/Famicom Shougi - Ryuuousen (J).nes,Famicom Shougi - Ryuuousen (J).nes,nes,262160
1698,ROM/0954/Mini-Putt (J) [!].nes,Mini-Putt (J) [!].nes,nes,262160
1699,ROM/0954/Mini-Putt (U) (Proto).nes,Mini-Putt (U) (Proto).nes,nes,262160
1700,ROM/0955/Famimaga Disk Vol. 3 - All 1 (J).fds,Famimaga Disk Vol. 3 - All 1 (J).fds,fds,65516
1701,ROM/0956/Double Dragon III - The Rosetta Stone (J) [!].nes,Double Dragon III - The Rosetta Stone (J) [!].nes,nes,262160
1702,ROM/0956/Double Dragon III - The Sacred Stones (E) [!].nes,Double Dragon III - The Sacred Stones (E) [!].nes,nes,262160
1703,ROM/0956/Double Dragon III - The Sacred Stones (U) [!].nes,Double Dragon III - The Sacred Stones (U) [!].nes,nes,262160
1704,ROM/0957/Niji no Silk Road (J) [!].nes,Niji no Silk Road (J) [!].nes,nes,393232
1705,ROM/0958/Ide Yousuke Meijin no Jissen Mahjong II (J) [!].nes,Ide Yousuke Meijin no Jissen Mahjong II (J) [!].nes,nes,262160
1706,ROM/0959/Grand Master (J).nes,Grand Master (J).nes,nes,393232
1707,ROM/0960/Nantettatte!! Baseball - OB All Star Hen (J).nes,Nantettatte!! Baseball - OB All Star Hen (J).nes,nes,278544
1708,ROM/0961/Super Chinese 3 (J) [!].nes,Super Chinese 3 (J) [!].nes,nes,262160
1709,ROM/0962/Kyuukyoku Harikiri Stadium III (J) [!].nes,Kyuukyoku Harikiri Stadium III (J) [!].nes,nes,393232
